Annee,Governorate,Effectif_Ovin,Est_Femelle,Source
2024,Béja,31000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2024,Béja,38000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2024,Béja,7000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2024,Béja,24000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2024,Béja,25000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2024,Béja,300000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2022,Nabeul,3600.0,False,Evolution du Cheptel selon l'Espèce (2022-2024) - Gouvernorat de Nabeul - Evolution du Cheptel selon.csv
2023,Nabeul,3200.0,False,Evolution du Cheptel selon l'Espèce (2022-2024) - Gouvernorat de Nabeul - Evolution du Cheptel selon.csv
2024,Nabeul,3195.0,False,Evolution du Cheptel selon l'Espèce (2022-2024) - Gouvernorat de Nabeul - Evolution du Cheptel selon.csv
2021,Zaghouan,1415.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Zaghouan - Evolution du C.csv
2021,Zaghouan,1215.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Zaghouan - Evolution du C.csv
2021,Zaghouan,2830.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Zaghouan - Evolution du C.csv
2021,Zaghouan,3180.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Zaghouan - Evolution du C.csv
2021,Zaghouan,815.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Zaghouan - Evolution du C.csv
2021,Zaghouan,695.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Zaghouan - Evolution du C.csv
2021,Zaghouan,10150.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Zaghouan - Evolution du C.csv
2022,Zaghouan,1380.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Zaghouan - Evolution du C.csv
2022,Zaghouan,1190.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Zaghouan - Evolution du C.csv
2022,Zaghouan,2750.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Zaghouan - Evolution du C.csv
2022,Zaghouan,3100.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Zaghouan - Evolution du C.csv
2022,Zaghouan,800.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Zaghouan - Evolution du C.csv
2022,Zaghouan,680.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Zaghouan - Evolution du C.csv
2022,Zaghouan,9900.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Zaghouan - Evolution du C.csv
2023,Zaghouan,1330.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Zaghouan - Evolution du C.csv
2023,Zaghouan,1130.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Zaghouan - Evolution du C.csv
2023,Zaghouan,2640.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Zaghouan - Evolution du C.csv
2023,Zaghouan,2970.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Zaghouan - Evolution du C.csv
2023,Zaghouan,770.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Zaghouan - Evolution du C.csv
2023,Zaghouan,660.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Zaghouan - Evolution du C.csv
2023,Zaghouan,9500.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Zaghouan - Evolution du C.csv
2024,Zaghouan,940.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Zaghouan - Evolution du C.csv
2024,Zaghouan,795.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Zaghouan - Evolution du C.csv
2024,Zaghouan,1860.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Zaghouan - Evolution du C.csv
2024,Zaghouan,2095.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Zaghouan - Evolution du C.csv
2024,Zaghouan,545.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Zaghouan - Evolution du C.csv
2024,Zaghouan,465.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Zaghouan - Evolution du C.csv
2024,Zaghouan,6700.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Zaghouan - Evolution du C.csv
2018,Sfax,1280.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Sfax - Evolution du Chept.csv
2018,Sfax,33.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Sfax - Evolution du Chept.csv
2019,Sfax,1350.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Sfax - Evolution du Chept.csv
2019,Sfax,34.65,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Sfax - Evolution du Chept.csv
2020,Sfax,1300.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Sfax - Evolution du Chept.csv
2020,Sfax,40.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Sfax - Evolution du Chept.csv
2023,Sfax,1265.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Sfax - Evolution du Chept.csv
2023,Sfax,0.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Sfax - Evolution du Chept.csv
2024,Sfax,800.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Sfax - Evolution du Chept.csv
2024,Sfax,40.0,True,Evolution du Cheptel selon l'Espèce ( femelle productive) - Gouvernorat de Sfax - Evolution du Chept.csv
2020,Tunis,8.0,False,Evolution du Cheptel selon l'Espèce - Gouvernorat de Tunis - Evolution du Cheptel selon l'Espèce - G.csv
2020,Tunis,12.0,False,Evolution du Cheptel selon l'Espèce - Gouvernorat de Tunis - Evolution du Cheptel selon l'Espèce - G.csv
2020,Tunis,16.0,False,Evolution du Cheptel selon l'Espèce - Gouvernorat de Tunis - Evolution du Cheptel selon l'Espèce - G.csv
2020,Tunis,0.0,False,Evolution du Cheptel selon l'Espèce - Gouvernorat de Tunis - Evolution du Cheptel selon l'Espèce - G.csv
2020,Tunis,332.0,False,Evolution du Cheptel selon l'Espèce - Gouvernorat de Tunis - Evolution du Cheptel selon l'Espèce - G.csv
2020,Tunis,2292.0,False,Evolution du Cheptel selon l'Espèce - Gouvernorat de Tunis - Evolution du Cheptel selon l'Espèce - G.csv
2020,Tunis,4.0,False,Evolution du Cheptel selon l'Espèce - Gouvernorat de Tunis - Evolution du Cheptel selon l'Espèce - G.csv
2020,Tunis,132.0,False,Evolution du Cheptel selon l'Espèce - Gouvernorat de Tunis - Evolution du Cheptel selon l'Espèce - G.csv
2020,Tunis,8.0,False,Evolution du Cheptel selon l'Espèce - Gouvernorat de Tunis - Evolution du Cheptel selon l'Espèce - G.csv
2020,Tunis,6.0,False,Evolution du Cheptel selon l'Espèce - Gouvernorat de Tunis - Evolution du Cheptel selon l'Espèce - G.csv
2020,Tunis,88.0,False,Evolution du Cheptel selon l'Espèce - Gouvernorat de Tunis - Evolution du Cheptel selon l'Espèce - G.csv
2020,Tunis,535.0,False,Evolution du Cheptel selon l'Espèce - Gouvernorat de Tunis - Evolution du Cheptel selon l'Espèce - G.csv
2020,Tunis,3440.0,False,Evolution du Cheptel selon l'Espèce - Gouvernorat de Tunis - Evolution du Cheptel selon l'Espèce - G.csv
2021,Tunis,8.0,False,Evolution du Cheptel selon l'Espèce - Gouvernorat de Tunis - Evolution du Cheptel selon l'Espèce - G.csv
2021,Tunis,10.0,False,Evolution du Cheptel selon l'Espèce - Gouvernorat de Tunis - Evolution du Cheptel selon l'Espèce - G.csv
2021,Tunis,13.0,False,Evolution du Cheptel selon l'Espèce - Gouvernorat de Tunis - Evolution du Cheptel selon l'Espèce - G.csv
2021,Tunis,6.0,False,Evolution du Cheptel selon l'Espèce - Gouvernorat de Tunis - Evolution du Cheptel selon l'Espèce - G.csv
2021,Tunis,310.0,False,Evolution du Cheptel selon l'Espèce - Gouvernorat de Tunis - Evolution du Cheptel selon l'Espèce - G.csv
2021,Tunis,2040.0,False,Evolution du Cheptel selon l'Espèce - Gouvernorat de Tunis - Evolution du Cheptel selon l'Espèce - G.csv
2021,Tunis,4.0,False,Evolution du Cheptel selon l'Espèce - Gouvernorat de Tunis - Evolution du Cheptel selon l'Espèce - G.csv
2021,Tunis,120.0,False,Evolution du Cheptel selon l'Espèce - Gouvernorat de Tunis - Evolution du Cheptel selon l'Espèce - G.csv
2021,Tunis,8.0,False,Evolution du Cheptel selon l'Espèce - Gouvernorat de Tunis - Evolution du Cheptel selon l'Espèce - G.csv
